S003,S007,S017,S019,X001,X003,X007,X011,X025A,X047,C001,D057,D063_B
DEU,2760600091,2.707160568543088,1.9847218244450793,1,43,6,0,NA,NA,2,3,1
DEU,2760600092,2.0345391447373666,1.4915976134438174,2,63,1,1,NA,4,1,2,1
DEU,2760600093,1.3303070715086844,0.975298439522496,1,63,1,2,NA,3,2,1,1
DEU,2760600094,3.138047479124031,2.300621319005888,2,76,5,2,NA,7,1,2,1
DEU,2760600095,2.6176482117628592,1.9190969294449114,2,56,NA,1,NA,1,2,3,1
DEU,2760600096,1.6610424423320909,1.2177730515631164,1,45,1,2,NA,4,2,2,1
DEU,2760600097,3.138047479124031,2.300621319005888,2,70,1,1,NA,2,2,3,1
DEU,2760600098,1.6765920174527706,1.2291730333231456,2,46,1,2,NA,7,2,3,1
DEU,2760600099,3.8572153284554718,2.8278704754072375,1,39,1,1,NA,5,2,3,3
DEU,2760600100,2.6176482117628592,1.9190969294449114,2,50,1,0,NA,6,2,4,1
DEU,2760600101,1.6061074302281104,1.1774981160030136,2,52,1,3,NA,3,2,2,2
DEU,2760600102,2.0345391447373666,1.4915976134438174,2,60,1,7,NA,2,1,1,1
DEU,2760600103,1.14882716187654,0.8422486524021554,2,63,1,1,NA,7,2,2,1
DEU,2760600104,2.707160568543088,1.9847218244450793,1,48,1,2,NA,7,2,NA,1
DEU,2760600105,2.6176482117628592,1.9190969294449114,2,54,1,5,NA,NA,2,1,3
DEU,2760600106,2.7324286281141927,2.0032467948051265,2,42,1,3,NA,7,3,4,1
DEU,2760600107,2.8818886889780955,2.1128216194854073,1,51,2,1,NA,1,3,2,1
DEU,2760600108,2.3121809005105574,1.6951472877643383,1,75,5,1,NA,4,2,2,1
DEU,2760600109,3.05191101694237,2.237471420045726,2,73,5,0,NA,7,2,1,1
DEU,2760600110,3.0454661272541936,2.2327464276057136,1,50,1,6,NA,1,2,1,1
DEU,2760600111,1.7197625483799213,1.2608229826832267,1,57,1,1,NA,5,2,NA,1
DEU,2760600112,3.1085851262637956,2.2790213535658324,1,49,1,3,NA,6,2,3,1
DEU,2760600113,2.3121809005105574,1.6951472877643383,1,73,3,2,NA,3,2,2,1
DEU,2760600114,0.46648725362039384,0.34199945280087524,2,61,1,3,NA,3,2,3,1
DEU,2760600115,0.1425036719941247,0.10447483284026737,1,65,1,1,NA,4,3,4,1
DEU,2760600116,0.0827605675830918,0.06067490292015528,1,64,1,2,NA,3,2,3,1
DEU,2760600117,0.23109533024747142,0.1694247289204336,2,64,5,2,NA,3,2,3,1
DEU,2760600118,0.09923084123065395,0.07274988360018618,2,66,5,2,NA,3,2,3,1
DEU,2760600119,0.14178757313988286,0.10394983368026602,1,70,1,3,NA,3,1,1,3
DEU,2760600120,0.23416432533707926,0.17167472532043934,1,28,2,1,NA,2,3,3,2
DEU,2760600121,0.23416432533707926,0.17167472532043934,1,29,2,0,NA,4,2,2,NA
DEU,2760600122,0.17953621274205947,0.13162478940033684,2,43,1,3,NA,3,1,1,3
DEU,2760600123,0.09923084123065395,0.07274988360018618,2,61,1,2,NA,5,1,3,1
DEU,2760600124,0.12726099638240568,0.09329985072023878,1,56,1,3,NA,6,1,2,2
DEU,2760600125,0.2528851953836872,0.18539970336047448,1,59,1,3,NA,4,2,2,1
DEU,2760600126,0.24214371257005968,0.17752471596045433,2,29,1,2,NA,6,2,2,3
DEU,2760600127,0.23109533024747142,0.1694247289204336,2,62,1,3,NA,3,1,3,1
DEU,2760600128,0.07212138460578457,0.052874915400135315,2,35,1,2,NA,5,1,2,2
DEU,2760600129,0.0827605675830918,0.06067490292015528,1,60,2,1,NA,5,2,3,3
DEU,2760600130,0.14178757313988286,0.10394983368026602,1,73,5,2,NA,5,2,NA,2
DEU,2760600131,0.2528851953836872,0.18539970336047448,1,58,3,1,NA,3,2,1,1
DEU,2760600132,0.29175913318538665,0.2138996577605474,1,32,1,5,NA,7,2,1,1
DEU,2760600133,0.846326545877526,0.620474007241588,1,80,1,2,NA,5,2,3,2
DEU,2760600134,0.48592422252124357,0.3562494300009117,2,80,5,3,NA,2,3,2,1
DEU,2760600135,0.3209145865366613,0.2352746235606021,2,52,1,2,NA,5,2,4,3
DEU,2760600136,1.131231590029455,0.8293486730421223,2,83,5,2,NA,6,2,3,1
DEU,2760600137,0.36357361828221046,0.26654957352068215,1,71,1,2,NA,6,2,4,1
DEU,2760600138,0.23181142910171323,0.1699497280804349,2,47,2,0,NA,7,2,4,1
DEU,2760600139,0.48592422252124357,0.3562494300009117,2,81,5,1,NA,5,2,3,1
DEU,2760600140,0.18096841045054313,0.13267478772033953,1,61,1,2,NA,3,3,4,1
DEU,2760600141,0.29257753187594876,0.21449965680054894,1,44,1,1,NA,7,3,3,1
DEU,2760600142,0.3209145865366613,0.2352746235606021,2,55,1,2,NA,5,3,3,1
DEU,2760600143,0.23181142910171323,0.1699497280804349,2,45,2,0,NA,7,2,4,3
DEU,2760600144,0.48592422252124357,0.3562494300009117,2,85,5,2,NA,7,3,3,3
DEU,2760600145,0.4260788182738904,0.3123745002007994,1,71,1,3,NA,7,2,4,1
DEU,2760600146,0.16429353713034045,0.12044980728030825,1,65,1,1,NA,6,2,4,1
DEU,2760600147,0.16429353713034045,0.12044980728030825,1,63,1,1,NA,4,2,1,1
DEU,2760600148,0.1433220706846868,0.10507483188026892,2,38,1,1,NA,5,2,3,1
DEU,2760600149,0.2265941374493799,0.16612473420042514,1,46,1,2,NA,4,2,3,1
DEU,2760600150,0.10864242617211804,0.07964987256020384,1,57,3,0,NA,3,2,4,1
DEU,2760600151,0.23109533024747142,0.1694247289204336,2,63,1,1,NA,4,2,4,1
DEU,2760600152,0.09923084123065395,0.07274988360018618,2,68,1,0,NA,4,2,2,1
DEU,2760600153,0.2528851953836872,0.18539970336047448,1,58,1,3,NA,5,2,2,2
DEU,2760600154,1.008880985790422,0.7396488165618929,1,39,1,1,NA,6,3,3,1
DEU,2760600155,0.3151857957027266,0.23107463028059136,1,69,1,2,NA,6,3,3,2
DEU,2760600156,0.4490962814459493,0.3292494732008426,1,21,6,NA,NA,5,2,2,3
DEU,2760600157,0.892054572712683,0.6539989536016737,1,26,6,0,NA,NA,3,4,2
DEU,2760600158,0.9468872849803432,0.6941988892817766,2,57,1,2,NA,5,2,3,1
DEU,2760600159,0.625972698443682,0.4589242657211745,1,65,1,2,NA,6,2,1,1
DEU,2760600160,0.34444354889032147,0.25252459596064625,2,43,3,1,NA,4,2,2,1
DEU,2760600161,0.2689462696859683,0.1971746845205046,1,63,1,2,NA,5,2,4,1
DEU,2760600162,0.2689462696859683,0.1971746845205046,1,60,3,2,NA,3,2,2,1
DEU,2760600163,0.7219299449120875,0.5292741531613545,2,77,5,2,NA,5,2,4,1
DEU,2760600164,0.6129806192310087,0.44939928096115006,2,52,1,1,NA,6,2,1,1
DEU,2760600165,0.26792327132276567,0.1964246857205027,1,52,3,1,NA,5,1,2,1
DEU,2760600166,0.34966084054265484,0.25634958984065603,1,75,5,2,NA,4,1,2,2
DEU,2760600167,0.26792327132276567,0.1964246857205027,1,51,6,0,NA,3,3,3,NA
DEU,2760600168,0.623619802208316,0.4571992684811701,1,53,4,3,NA,7,3,3,1
DEU,2760600169,0.34966084054265484,0.25634958984065603,1,71,1,2,NA,4,3,3,2
DEU,2760600170,0.24009771584365444,0.17602471836045047,1,48,1,1,NA,6,1,2,2
DEU,2760600171,0.40971084446264855,0.3003745194007687,1,72,5,2,NA,7,3,2,1
DEU,2760600172,0.26792327132276567,0.1964246857205027,1,59,1,1,NA,6,3,3,1
DEU,2760600173,0.1778994153609353,0.13042479132033377,2,34,1,2,NA,4,1,2,1
DEU,2760600174,0.6129806192310087,0.44939928096115006,2,59,1,4,NA,2,2,2,1
DEU,2760600175,0.19027769555568697,0.139499776800357,2,44,3,1,NA,4,3,1,1
DEU,2760600176,0.3534459344865045,0.25912458540066313,2,34,6,2,NA,1,NA,3,1
DEU,2760600177,0.5476110238223615,0.40147435764102746,2,75,1,2,NA,3,2,NA,1
DEU,2760600178,0.623619802208316,0.4571992684811701,1,50,2,1,NA,4,2,2,1
DEU,2760600179,0.2633197786883539,0.19304969112049405,2,53,1,1,NA,3,2,1,1
DEU,2760600180,0.3139581976668835,0.23017463172058908,1,56,1,2,NA,10,2,3,1
